,AAPL,AMZN,GOOGL,MSFT,TSLA
AAPL,1.0,0.598891537567734,0.48970473889559024,0.5472735285426122,0.48621334682108464
AMZN,0.598891537567734,1.0,0.6251481895060342,0.6941841929142301,0.527573672165632
GOOGL,0.48970473889559024,0.6251481895060342,1.0,0.5311566830898428,0.522159768681023
MSFT,0.5472735285426122,0.6941841929142301,0.5311566830898428,1.0,0.45885769989664127
TSLA,0.48621334682108464,0.527573672165632,0.522159768681023,0.45885769989664127,1.0
