,annual_returns,annual_volatility,sharpe_ratios
AAPL,0.1151688373682009,0.3215469276988606,0.2959718447608048
AMZN,0.3491794304434529,0.340077245680181,0.9679548826769294
GOOGL,0.26357759270377384,0.31214333533389566,0.7803389184754564
MSFT,0.2929406929950056,0.24948729044136372,1.0940064021383646
TSLA,0.7601058042196023,0.7208997561559013,1.0266417735610212
